unit,unit_title_en,lesson,lesson_title_en,can_do_en,new_words,review_words,chunks,grammar,pronunciation,conversation,activities
u03,"People, countries & languages",u03-l02,Describing people,Give a simple description,8,0,2,,snd_h,,intro listen-choose icon-choice match gapfill phrase-match reorder typed pron-record minimal-pair odd-one-out
u03,"People, countries & languages",u03-l03,"People, countries & languages · more (3)",Say where people are from and describe them,8,0,0,,snd_wv,,intro listen-choose icon-choice match gapfill typed pron-record minimal-pair
u03,"People, countries & languages",u03-l04,"People, countries & languages · more (4)",Say where people are from and describe them,8,0,0,,snd_h,,intro listen-choose icon-choice match gapfill typed pron-record minimal-pair
u03,"People, countries & languages",u03-l05,"People, countries & languages · more (5)",Say where people are from and describe them,5,0,0,,snd_wv,,intro listen-choose icon-choice match gapfill typed pron-record minimal-pair odd-one-out
u04,My day & my home,u04-l01,My daily routine,Describe your day,8,92,4,gr_presentsimple gr_dodoes gr_frequency,snd_ed_endings,,intro listen-choose icon-choice match spelling-build grammar grammar grammar gapfill phrase-match reorder typed pron-record odd-one-out review
u04,My day & my home,u04-l02,My home,Describe your home,8,0,1,gr_thereis,snd_ng,,intro listen-choose icon-choice match spelling-build grammar gapfill phrase-match reorder typed pron-record
u04,My day & my home,u04-l03,My day & my home · more (3),Describe your routine and your home,8,0,0,,snd_ed_endings,,intro listen-choose icon-choice match spelling-build gapfill typed pron-record odd-one-out
u04,My day & my home,u04-l04,My day & my home · more (4),Describe your routine and your home,8,0,0,,snd_ng,,intro listen-choose icon-choice match gapfill typed pron-record
u04,My day & my home,u04-l05,My day & my home · more (5),Describe your routine and your home,8,0,0,,snd_ed_endings,,intro listen-choose match spelling-build gapfill typed pron-record odd-one-out
u04,My day & my home,u04-l06,My day & my home · more (6),Describe your routine and your home,8,0,0,,snd_ng,,intro listen-choose icon-choice match gapfill typed pron-record odd-one-out
u04,My day & my home,u04-l07,My day & my home · more (7),Describe your routine and your home,8,0,0,,snd_ed_endings,,intro listen-choose icon-choice match gapfill typed pron-record odd-one-out
u04,My day & my home,u04-l08,My day & my home · more (8),Describe your routine and your home,8,0,0,,snd_ng,,intro listen-choose icon-choice match gapfill typed pron-record
u04,My day & my home,u04-l09,My day & my home · more (9),Describe your routine and your home,8,0,0,,snd_ed_endings,,intro listen-choose icon-choice match gapfill typed pron-record odd-one-out
u04,My day & my home,u04-l10,My day & my home · more (10),Describe your routine and your home,2,0,0,,snd_ng,,intro listen-choose gapfill typed pron-record
u05,"Food, cooking & shopping",u05-l01,Food I like,Talk about food you like,8,119,4,gr_someany,snd_ee_i,,intro listen-choose icon-choice match spelling-build grammar gapfill phrase-match reorder typed pron-record minimal-pair odd-one-out review
u05,"Food, cooking & shopping",u05-l02,Cooking & shopping,Buy and cook simple things,8,0,4,gr_wouldlike,snd_shchj,,intro listen-choose icon-choice match spelling-build grammar gapfill phrase-match reorder typed pron-record minimal-pair odd-one-out
u05,"Food, cooking & shopping",u05-l03,"Food, cooking & shopping · more (3)",Talk about food and buy simple things,8,0,4,,snd_ee_i,,intro listen-choose icon-choice match spelling-build gapfill phrase-match reorder typed pron-record minimal-pair odd-one-out
u05,"Food, cooking & shopping",u05-l04,"Food, cooking & shopping · more (4)",Talk about food and buy simple things,8,0,1,,snd_shchj,,intro listen-choose icon-choice match gapfill phrase-match reorder typed pron-record minimal-pair
u05,"Food, cooking & shopping",u05-l05,"Food, cooking & shopping · more (5)",Talk about food and buy simple things,8,0,0,,snd_ee_i,,intro listen-choose icon-choice match gapfill typed pron-record minimal-pair odd-one-out
u05,"Food, cooking & shopping",u05-l06,"Food, cooking & shopping · more (6)",Talk about food and buy simple things,8,0,0,,snd_shchj,,intro listen-choose icon-choice match gapfill typed pron-record minimal-pair odd-one-out
u05,"Food, cooking & shopping",u05-l07,"Food, cooking & shopping · more (7)",Talk about food and buy simple things,8,0,0,,snd_ee_i,,intro listen-choose icon-choice match gapfill typed pron-record minimal-pair odd-one-out
u05,"Food, cooking & shopping",u05-l08,"Food, cooking & shopping · more (8)",Talk about food and buy simple things,8,0,0,,snd_shchj,,intro listen-choose icon-choice match gapfill typed pron-record minimal-pair
u05,"Food, cooking & shopping",u05-l09,"Food, cooking & shopping · more (9)",Talk about food and buy simple things,8,0,0,,snd_ee_i,,intro listen-choose icon-choice match gapfill typed pron-record minimal-pair odd-one-out
u05,"Food, cooking & shopping",u05-l10,"Food, cooking & shopping · more (10)",Talk about food and buy simple things,8,0,0,,snd_shchj,,intro listen-choose icon-choice match gapfill typed pron-record minimal-pair odd-one-out
u05,"Food, cooking & shopping",u05-l11,"Food, cooking & shopping · more (11)",Talk about food and buy simple things,5,0,0,,snd_ee_i,,intro listen-choose icon-choice match gapfill typed pron-record minimal-pair odd-one-out
u06,"Time, weather & plans",u06-l01,"Days, times & numbers",Say days and times,8,122,4,gr_prepositions_time,str_word,,intro listen-choose icon-choice match spelling-build grammar gapfill phrase-match reorder typed pron-record odd-one-out review
u06,"Time, weather & plans",u06-l02,Weather & plans,Talk about weather and make plans,8,0,4,gr_can gr_goingto gr_presentcont,str_question,,intro listen-choose icon-choice match grammar grammar grammar gapfill phrase-match reorder typed pron-record odd-one-out listen-comprehension
u06,"Time, weather & plans",u06-l03,"Time, weather & plans · more (3)","Say times, weather and make plans",8,0,4,,str_word,,intro listen-choose icon-choice match gapfill phrase-match reorder typed pron-record
u06,"Time, weather & plans",u06-l04,"Time, weather & plans · more (4)","Say times, weather and make plans",8,0,4,,str_question,,intro listen-choose icon-choice match spelling-build gapfill phrase-match reorder typed pron-record odd-one-out
u06,"Time, weather & plans",u06-l05,"Time, weather & plans · more (5)","Say times, weather and make plans",8,0,4,,str_word,,intro listen-choose icon-choice match gapfill phrase-match reorder typed pron-record
u06,"Time, weather & plans",u06-l06,"Time, weather & plans · more (6)","Say times, weather and make plans",8,0,1,,str_question,,intro listen-choose icon-choice match gapfill phrase-match reorder typed pron-record
u06,"Time, weather & plans",u06-l07,"Time, weather & plans · more (7)","Say times, weather and make plans",8,0,0,,str_word,,intro listen-choose icon-choice match spelling-build gapfill typed pron-record
u06,"Time, weather & plans",u06-l08,"Time, weather & plans · more (8)","Say times, weather and make plans",8,0,0,,str_question,,intro listen-choose icon-choice match gapfill typed pron-record odd-one-out
u06,"Time, weather & plans",u06-l09,"Time, weather & plans · more (9)","Say times, weather and make plans",8,0,0,,str_word,,intro listen-choose icon-choice match gapfill typed pron-record odd-one-out
u06,"Time, weather & plans",u06-l10,"Time, weather & plans · more (10)","Say times, weather and make plans",8,0,0,,str_question,,intro listen-choose icon-choice match gapfill typed pron-record odd-one-out
u06,"Time, weather & plans",u06-l11,"Time, weather & plans · more (11)","Say times, weather and make plans",8,0,0,,str_word,,intro listen-choose icon-choice match gapfill typed pron-record odd-one-out
u06,"Time, weather & plans",u06-l12,"Time, weather & plans · more (12)","Say times, weather and make plans",8,0,0,,str_question,,intro listen-choose icon-choice match spelling-build gapfill typed pron-record odd-one-out
u06,"Time, weather & plans",u06-l13,"Time, weather & plans · more (13)","Say times, weather and make plans",8,0,0,,str_word,,intro listen-choose icon-choice match gapfill typed pron-record odd-one-out
u06,"Time, weather & plans",u06-l14,"Time, weather & plans · more (14)","Say times, weather and make plans",2,0,0,,str_question,,intro listen-choose gapfill typed pron-record
u07,Phone & video calls,u07-l01,Phone call with Kira,Start a call and check sound,8,180,4,gr_object_pronouns,str_question,dlg_kira_phone,intro listen-choose icon-choice match spelling-build grammar gapfill phrase-match reorder typed pron-record odd-one-out conversation review
u07,Phone & video calls,u07-l02,Video calls,Check picture and give an update,8,0,4,,snd_th,,intro listen-choose icon-choice match gapfill phrase-match reorder typed pron-record minimal-pair odd-one-out listen-comprehension
u07,Phone & video calls,u07-l03,Phone & video calls · more (3),"Start a call, check sound, ask to repeat",8,0,4,,str_question,,intro listen-choose icon-choice match gapfill phrase-match reorder typed pron-record odd-one-out
u07,Phone & video calls,u07-l04,Phone & video calls · more (4),"Start a call, check sound, ask to repeat",5,0,13,,snd_th,,intro listen-choose icon-choice match gapfill phrase-match reorder typed pron-record minimal-pair odd-one-out
u08,"Hobbies, books & opinions",u08-l01,Hobbies with Peter,Talk about hobbies,8,114,4,gr_likeing,snd_r,dlg_peter_dinner,intro listen-choose icon-choice match grammar gapfill phrase-match reorder typed pron-record odd-one-out conversation review
u08,"Hobbies, books & opinions",u08-l02,Books & opinions with Emma,Give a simple opinion,8,0,4,gr_comparatives,snd_th,dlg_emma_books,intro listen-choose icon-choice match grammar gapfill phrase-match reorder typed pron-record minimal-pair conversation
u08,"Hobbies, books & opinions",u08-l03,"Hobbies, books & opinions · more (3)",Talk about hobbies and give an opinion,8,0,4,,snd_r,,intro listen-choose icon-choice match spelling-build gapfill phrase-match reorder typed pron-record
u08,"Hobbies, books & opinions",u08-l04,"Hobbies, books & opinions · more (4)",Talk about hobbies and give an opinion,8,0,4,,snd_th,,intro listen-choose icon-choice match gapfill phrase-match reorder typed pron-record minimal-pair odd-one-out
u08,"Hobbies, books & opinions",u08-l05,"Hobbies, books & opinions · more (5)",Talk about hobbies and give an opinion,8,0,2,,snd_r,,intro listen-choose icon-choice match gapfill phrase-match reorder typed pron-record odd-one-out
u08,"Hobbies, books & opinions",u08-l06,"Hobbies, books & opinions · more (6)",Talk about hobbies and give an opinion,8,0,0,,snd_th,,intro listen-choose icon-choice match gapfill typed pron-record minimal-pair odd-one-out
u08,"Hobbies, books & opinions",u08-l07,"Hobbies, books & opinions · more (7)",Talk about hobbies and give an opinion,8,0,0,,snd_r,,intro listen-choose icon-choice match spelling-build gapfill typed pron-record
u08,"Hobbies, books & opinions",u08-l08,"Hobbies, books & opinions · more (8)",Talk about hobbies and give an opinion,8,0,0,,snd_th,,intro listen-choose icon-choice match gapfill typed pron-record minimal-pair odd-one-out
u08,"Hobbies, books & opinions",u08-l09,"Hobbies, books & opinions · more (9)",Talk about hobbies and give an opinion,8,0,0,,snd_r,,intro listen-choose icon-choice match gapfill typed pron-record odd-one-out
u08,"Hobbies, books & opinions",u08-l10,"Hobbies, books & opinions · more (10)",Talk about hobbies and give an opinion,8,0,0,,snd_th,,intro listen-choose icon-choice match gapfill typed pron-record minimal-pair
u08,"Hobbies, books & opinions",u08-l11,"Hobbies, books & opinions · more (11)",Talk about hobbies and give an opinion,1,0,0,,snd_r,,intro typed pron-record
u09,Around town: directions,u09-l01,Where is it?,Ask for and give directions,8,187,4,gr_imperatives,snd_shchj,,intro listen-choose icon-choice match spelling-build grammar gapfill phrase-match reorder typed pron-record minimal-pair review
u09,Around town: directions,u09-l02,Buses & trains,Use transport words,8,0,4,,snd_final_cons,,intro listen-choose icon-choice match spelling-build gapfill phrase-match reorder typed pron-record minimal-pair odd-one-out
u09,Around town: directions,u09-l03,Around town: directions · more (3),Ask where places are and use transport,8,0,4,,snd_shchj,,intro listen-choose icon-choice match gapfill phrase-match reorder typed pron-record minimal-pair
u09,Around town: directions,u09-l04,Around town: directions · more (4),Ask where places are and use transport,8,0,4,,snd_final_cons,,intro listen-choose icon-choice match gapfill phrase-match reorder typed pron-record minimal-pair odd-one-out
u09,Around town: directions,u09-l05,Around town: directions · more (5),Ask where places are and use transport,8,0,4,,snd_shchj,,intro listen-choose icon-choice match spelling-build gapfill phrase-match reorder typed pron-record minimal-pair odd-one-out
u09,Around town: directions,u09-l06,Around town: directions · more (6),Ask where places are and use transport,8,0,0,,snd_final_cons,,intro listen-choose icon-choice match gapfill typed pron-record minimal-pair
u09,Around town: directions,u09-l07,Around town: directions · more (7),Ask where places are and use transport,8,0,0,,snd_shchj,,intro listen-choose icon-choice match gapfill typed pron-record minimal-pair odd-one-out
u09,Around town: directions,u09-l08,Around town: directions · more (8),Ask where places are and use transport,8,0,0,,snd_final_cons,,intro listen-choose icon-choice match gapfill typed pron-record minimal-pair odd-one-out
u09,Around town: directions,u09-l09,Around town: directions · more (9),Ask where places are and use transport,8,0,0,,snd_shchj,,intro listen-choose icon-choice match gapfill typed pron-record minimal-pair odd-one-out
u09,Around town: directions,u09-l10,Around town: directions · more (10),Ask where places are and use transport,8,0,0,,snd_final_cons,,intro listen-choose icon-choice match gapfill typed pron-record minimal-pair odd-one-out
u09,Around town: directions,u09-l11,Around town: directions · more (11),Ask where places are and use transport,5,0,0,,snd_shchj,,intro listen-choose icon-choice match gapfill typed pron-record minimal-pair
u10,"Restaurant, hotel & services",u10-l01,At the restaurant,Order food and ask for the bill,8,114,4,gr_could_requests,str_sentence,dlg_restaurant,intro listen-choose icon-choice match grammar gapfill phrase-match reorder typed pron-record odd-one-out conversation review
u10,"Restaurant, hotel & services",u10-l02,Hotel check-in,Check in and explain a problem,8,0,4,,str_word,dlg_hotel,intro listen-choose match gapfill phrase-match reorder typed pron-record conversation
u10,"Restaurant, hotel & services",u10-l03,"Restaurant, hotel & services · more (3)","Order, check in, ask for help",8,0,4,,str_sentence,,intro listen-choose icon-choice match gapfill phrase-match reorder typed pron-record odd-one-out
u10,"Restaurant, hotel & services",u10-l04,"Restaurant, hotel & services · more (4)","Order, check in, ask for help",4,0,15,,str_word,,intro listen-choose icon-choice match gapfill phrase-match reorder typed pron-record
u11,Teaching Hungarian online,u11-l01,Starting an online lesson,"Start a lesson, fix sound, praise",8,109,4,gr_imperatives,str_chunking,dlg_student_mic,intro listen-choose icon-choice match grammar gapfill phrase-match reorder typed pron-record listen-comprehension conversation review
u11,Teaching Hungarian online,u11-l02,Talking with a parent,Ask for a parent and speak with them,8,0,4,gr_can,str_question,dlg_student_parent,intro listen-choose icon-choice match grammar gapfill phrase-match reorder typed pron-record odd-one-out conversation
u11,Teaching Hungarian online,u11-l03,Teaching Hungarian online · more (3),Run an online lesson in English,8,0,4,,str_chunking,,intro listen-choose icon-choice match spelling-build gapfill phrase-match reorder typed pron-record odd-one-out
u11,Teaching Hungarian online,u11-l04,Teaching Hungarian online · more (4),Run an online lesson in English,8,0,4,,str_question,,intro listen-choose icon-choice match gapfill phrase-match reorder typed pron-record odd-one-out
u11,Teaching Hungarian online,u11-l05,Teaching Hungarian online · more (5),Run an online lesson in English,2,0,4,,str_chunking,,intro listen-choose gapfill phrase-match reorder typed pron-record
u12,Yesterday & past experiences,u12-l01,Where were you?,Say where you were,8,119,4,gr_waswere,snd_ed_endings,,intro listen-choose icon-choice match grammar gapfill phrase-match reorder typed pron-record odd-one-out review
u12,Yesterday & past experiences,u12-l02,My weekend story,Tell a short past story,7,0,7,gr_pastsimple,snd_ed_endings,dlg_endika_followup,intro listen-choose icon-choice match grammar gapfill phrase-match reorder typed pron-record odd-one-out listen-comprehension expand conversation
u13,Visits & future travel,u13-l01,Planning a visit,Plan a visit and a trip,8,43,4,gr_needhaveto,str_word,dlg_mirella_travel,intro listen-choose icon-choice match grammar gapfill phrase-match reorder typed pron-record odd-one-out conversation review
u13,Visits & future travel,u13-l02,Packing & documents,Talk about luggage and documents,8,0,4,,snd_final_cons,,intro listen-choose match gapfill phrase-match reorder typed pron-record minimal-pair odd-one-out
u13,Visits & future travel,u13-l03,Visits & future travel · more (3),Plan a visit and a trip,8,0,1,,str_word,,intro listen-choose icon-choice match gapfill phrase-match reorder typed pron-record odd-one-out
u13,Visits & future travel,u13-l04,Visits & future travel · more (4),Plan a visit and a trip,4,0,0,,snd_final_cons,,intro listen-choose icon-choice match gapfill typed pron-record minimal-pair
u14,Airport confidence,u14-l01,At the airport,Find check-in and your gate,8,62,4,gr_could_requests,str_question,dlg_airport,intro listen-choose icon-choice match spelling-build grammar gapfill phrase-match reorder typed pron-record odd-one-out listen-comprehension conversation review
u14,Airport confidence,u14-l02,Security & gates,Understand gate and time information,4,0,8,,str_word,,intro listen-choose icon-choice match gapfill phrase-match reorder typed pron-record listen-comprehension
u15,On the plane & arrival,u15-l01,On the plane,Ask for help and stay calm,8,27,4,gr_could_requests,str_chunking,dlg_plane_help,intro listen-choose icon-choice match spelling-build grammar gapfill phrase-match reorder typed pron-record odd-one-out conversation review
u15,On the plane & arrival,u15-l02,Arrival,Manage a simple arrival,8,0,4,,str_question,,intro listen-choose icon-choice match gapfill phrase-match reorder typed pron-record odd-one-out listen-comprehension
u15,On the plane & arrival,u15-l03,On the plane & arrival · more (3),Ask for help and stay calm on the plane,2,0,6,,str_chunking,,intro listen-choose gapfill phrase-match reorder typed pron-record
u16,Family occasions,u16-l01,Family party at Lake Balaton,Join a family conversation,8,46,4,,str_sentence,dlg_balaton,intro listen-choose icon-choice match gapfill phrase-match reorder typed pron-record odd-one-out expand conversation review
u16,Family occasions,u16-l02,Family occasions · more (2),Join a family conversation,8,0,4,,str_sentence,,intro listen-choose icon-choice match gapfill phrase-match reorder typed pron-record
u16,Family occasions,u16-l03,Family occasions · more (3),Join a family conversation,3,0,13,,str_sentence,,intro listen-choose icon-choice match gapfill phrase-match reorder typed pron-record
